comm code,PLS,Indents,EEA (2012),EEA Iceland (2014),Iceland,Norway,Prevailing,Active count,Conflicts,Parent ID, Parent PLS,Description
"0100000000",80,0,,,,,,0,,"","",""
"0101000000",80,0,,,,,,0,,"","",""
"0101210000",10,1,,,,,,0,,"0101000000","80",""
"0101210000",80,2,,,,,,0,,"0101210000","10",""
"0101290000",80,2,,,,,,0,,"0101210000","10",""
"0101291000",80,3,,,,,,0,,"0101290000","80",""
"0101299000",80,3,,,,0.0%,0.0%,1,,"0101290000","80",""
"0101300000",80,1,,,,,,0,,"0101000000","80",""
"0101900000",80,1,,,,,,0,,"0101000000","80",""
"0102000000",80,0,,,,,,0,,"","",""
"0102210000",10,1,,,,,,0,,"0102000000","80",""
"0102210000",80,2,,,,,,0,,"0102210000","10",""
"0102211000",80,3,,,,,,0,,"0102210000","80",""
"0102213000",80,3,,,,,,0,,"0102210000","80",""
"0102219000",80,3,,,,,,0,,"0102210000","80",""
"0102290000",80,2,,,,,,0,,"0102210000","10",""
"0102290500",80,3,,,,,,0,,"0102290000","80",""
"0102291000",10,3,,,,,,0,,"0102290000","80",""
"0102291000",80,4,,,,,,0,,"0102291000","10",""
"0102291010",80,5,,,,,,0,,"0102291000","80",""
"0102291020",80,5,,,,,,0,,"0102291000","80",""
"0102291030",80,5,,,,,,0,,"0102291000","80",""
"0102291040",80,5,,,,,,0,,"0102291000","80",""
"0102291050",80,5,,,,,,0,,"0102291000","80",""
"0102291090",80,5,,,,,,0,,"0102291000","80",""
"0102292100",10,4,,,,,,0,,"0102291000","10",""
"0102292100",80,5,,,,,,0,,"0102292100","10",""
"0102292900",80,5,,,,,,0,,"0102292100","10",""
"0102292910",80,6,,,,,,0,,"0102292900","80",""
"0102292920",80,6,,,,,,0,,"0102292900","80",""
"0102292930",80,6,,,,,,0,,"0102292900","80",""
"0102292940",80,6,,,,,,0,,"0102292900","80",""
"0102292950",80,6,,,,,,0,,"0102292900","80",""
"0102292990",80,6,,,,,,0,,"0102292900","80",""
"0102294100",10,4,,,,,,0,,"0102291000","10",""
"0102294100",80,5,,,,,,0,,"0102294100","10",""
"0102294900",80,5,,,,,,0,,"0102294100","10",""
"0102294910",80,6,,,,,,0,,"0102294900","80",""
"0102294920",80,6,,,,,,0,,"0102294900","80",""
"0102294930",80,6,,,,,,0,,"0102294900","80",""
"0102294940",80,6,,,,,,0,,"0102294900","80",""
"0102294950",80,6,,,,,,0,,"0102294900","80",""
"0102294990",80,6,,,,,,0,,"0102294900","80",""
"0102295100",10,4,,,,,,0,,"0102291000","10",""
"0102295100",20,5,,,,,,0,,"0102295100","10",""
"0102295100",80,6,,,,,,0,,"0102295100","20",""
"0102295110",80,7,,,,,,0,,"0102295100","80",""
"0102295190",80,7,,,,,,0,,"0102295100","80",""
"0102295900",80,6,,,,,,0,,"0102295100","20",""
"0102295911",10,7,,,,,,0,,"0102295900","80",""
"0102295911",80,8,,,,,,0,,"0102295911","10",""
"0102295919",80,8,,,,,,0,,"0102295911","10",""
"0102295921",10,7,,,,,,0,,"0102295900","80",""
"0102295921",80,8,,,,,,0,,"0102295921","10",""
"0102295929",80,8,,,,,,0,,"0102295921","10",""
"0102295931",10,7,,,,,,0,,"0102295900","80",""
"0102295931",80,8,,,,,,0,,"0102295931","10",""
"0102295939",80,8,,,,,,0,,"0102295931","10",""
"0102295991",10,7,,,,,,0,,"0102295900","80",""
"0102295991",80,8,,,,,,0,,"0102295991","10",""
"0102295999",80,8,,,,,,0,,"0102295991","10",""
"0102296100",10,5,,,,,,0,,"0102295100","10",""
"0102296100",80,6,,,,,,0,,"0102296100","10",""
"0102296900",80,6,,,,,,0,,"0102296100","10",""
"0102296910",80,7,,,,,,0,,"0102296900","80",""
"0102296920",80,7,,,,,,0,,"0102296900","80",""
"0102296930",80,7,,,,,,0,,"0102296900","80",""
"0102296990",80,7,,,,,,0,,"0102296900","80",""
"0102299100",10,5,,,,,,0,,"0102295100","10",""
"0102299100",80,6,,,,,,0,,"0102299100","10",""
"0102299110",80,7,,,,,,0,,"0102299100","80",""
"0102299190",80,7,,,,,,0,,"0102299100","80",""
"0102299900",80,6,,,,,,0,,"0102299100","10",""
"0102299921",10,7,,,,,,0,,"0102299900","80",""
"0102299921",80,8,,,,,,0,,"0102299921","10",""
"0102299929",80,8,,,,,,0,,"0102299921","10",""
"0102299991",10,7,,,,,,0,,"0102299900","80",""
"0102299991",80,8,,,,,,0,,"0102299991","10",""
"0102299999",80,8,,,,,,0,,"0102299991","10",""
"0102310000",10,1,,,,,,0,,"0102000000","80",""
"0102310000",80,2,,,,,,0,,"0102310000","10",""
"0102390000",80,2,,,,,,0,,"0102310000","10",""
"0102391000",80,3,,,,,,0,,"0102390000","80",""
"0102391010",80,4,,,,,,0,,"0102391000","80",""
