Commodity,Regulation,Geographical area ID,Measure type,AV,Specific 1,Ceiling,Minimum,Specific 2,Validity start date,Validity end date,Exclusions,Category
7208100000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208250000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208260000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208270000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208360000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208370000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208380000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208390000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208400000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208521000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208529900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208531000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208539000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7208540000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7211130000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7211140000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7211190000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212600000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225191000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225301000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225303000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225309000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225401500,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225409000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226191000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226912000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226919100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226919900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7209150000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209169000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209179000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209189100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209250000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209269000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209279000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209289000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209902000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7209908000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211232000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211233000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211238000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211290000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211902000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7211908000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
