"measure_sid","reformat_regulation_id","regulation_id","regulation_id_full","goods_nomenclature_item_id","additional_code_type_id","additional_code_id","measure_type_id","geographical_area_id","validity_start_date","validity_end_date","effective_end_date","ordernumber","national","reduction_indicator","measure_generating_regulation_role","measure_generating_regulation_id","justification_regulation_role","justification_regulation_id","stopped_flag","geographical_area_sid","goods_nomenclature_sid","additional_code_sid","export_refund_nomenclature_sid","regulation_group_id","measure_sid","duty_expression_id","duty_amount","monetary_unit_code","measurement_unit_code","measurement_unit_qualifier_code","oid","operation","operation_date","added_by_id","added_at","national","status","workbasket_id","workbasket_sequence_number","original_duty_expression_id"
3632604,D0001/94,D940001,D9400010,"0301190000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93790,,,PRF,3632604,"01",2.2,,,,2029590,C,,,,,,,,
3632795,D0001/94,D940001,D9400010,"0301911000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,63001,,,PRF,3632795,"01",2.4,,,,2029769,C,,,,,,,,
3632996,D0001/94,D940001,D9400010,"0301919000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,59352,,,PRF,3632996,"01",3.6,,,,2029959,C,,,,,,,,
3632796,D0001/94,D940001,D9400010,"0301930000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28385,,,PRF,3632796,"01",2.4,,,,2029770,C,,,,,,,,
3633459,D0001/94,D940001,D9400010,"0301940000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,85315,,,PRF,3633459,"01",4.8,,,,2030133,C,,,,,,,,
3633460,D0001/94,D940001,D9400010,"0301950000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,85316,,,PRF,3633460,"01",4.8,,,,2030134,C,,,,,,,,
3632797,D0001/94,D940001,D9400010,"0301991700",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100567,,,PRF,3632797,"01",2.4,,,,2029771,C,,,,,,,,
3633461,D0001/94,D940001,D9400010,"0301998500",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93921,,,PRF,3633461,"01",4.8,,,,2030135,C,,,,,,,,
3632798,D0001/94,D940001,D9400010,"0302111000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,63002,,,PRF,3632798,"01",2.4,,,,2029772,C,,,,,,,,
3632997,D0001/94,D940001,D9400010,"0302112000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,76064,,,PRF,3632997,"01",3.6,,,,2029960,C,,,,,,,,
