HS8 (numeric),Description,General framework , General framework Country exclusions,Enhanced framework ,Least developed countries framework ,Transitional Protection Scheme ,,,,,,,,
1012100,PURE-BRED BREEDING HORSES,,,,0%,0%,,,,,,,,
1012910,HORSES FOR SLAUGHTER,,,,0%,0%,,,,,,,,
1012990,LIVE HORSES (EXCL. FOR SLAUGHTER PURE-BRED FOR BREEDING),0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1013000,LIVE ASSES,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1019000,LIVE MULES AND HINNIES,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1022110,"PURE-BRED BREEDING HEIFERS ""FEMALE BOVINES THAT HAVE NEVER CALVED""",,,,0%,0%,,,,,,,,
1022130,PURE-BRED BREEDING COWS (EXCL. HEIFERS),,,,0%,0%,,,,,,,,
1022190,PURE-BRED CATTLE FOR BREEDING (EXCL. HEIFERS AND COWS), ,, ,0%,0%,,,,,,,,
1022905,LIVE CATTLE OF THE SUB-GENUS BIBOS OR POEPHAGUS (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1022910,LIVE CATTLE OF A WEIGHT <= 80 KG (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1022921,CATTLE OF A WEIGHT > 80 KG BUT <= 160 KG FOR SLAUGHTER,,,,0%,0%,,,,,,,,
1022929,LIVE CATTLE OF A WEIGHT > 80 KG BUT <= 160 KG (EXCL. FOR SLAUGHTER PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1022941,CATTLE OF A WEIGHT > 160 KG BUT <= 300 KG FOR SLAUGHTER,,,,0%,0%,,,,,,,,
1022949,LIVE CATTLE OF A WEIGHT > 160 KG BUT <= 300 KG (EXCL. FOR SLAUGHTER PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1022951,"HEIFERS ""FEMALE BOVINES THAT HAVE NEVER CALVED"" OF A WEIGHT > 300 KG FOR SLAUGHTER",,,,0%,0%,,,,,,,,
1022959,"LIVE HEIFERS ""FEMALE BOVINES THAT HAVE NEVER CALVED"" OF A WEIGHT > 300 KG (EXCL. FOR SLAUGHTER AND PURE-BRED FOR BREEDING)",,,,0%,0%,,,,,,,,
1022961,COWS OF A WEIGHT > 300 KG FOR SLAUGHTER (EXCL. HEIFERS),,,,0%,0%,,,,,,,,
1022969,LIVE COWS OF A WEIGHT > 300 KG (EXCL. FOR SLAUGHTER AND PURE-BRED FOR BREEDING AND HEIFERS),,,,0%,0%,,,,,,,,
1022991,CATTLE OF A WEIGHT > 300 KG FOR SLAUGHTER (EXCL. HEIFERS AND COWS),,,,0%,0%,,,,,,,,
1022999,LIVE CATTLE OF A WEIGHT > 300 KG (EXCL. FOR SLAUGHTER PURE-BRED FOR BREEDING AND HEIFERS AND COWS),,,,0%,0%,,,,,,,,
1023100,PURE-BRED BUFFALO FOR BREEDING,,,,0%,0%,,,,,,,,
1023910,LIVE DOMESTIC BUFFALO (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1023990,LIVE BUFFALO (EXCL. DOMESTIC SPECIES AND PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1029020,BOVINE PURE-BRED BREEDING ANIMALS (EXCL. CATTLE AND BUFFALO),,,,0%,0%,,,,,,,,
1029091,LIVE DOMESTIC BOVINE ANIMALS (EXCL. CATTLE AND BUFFALO AND PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1029099,LIVE BOVINE ANIMALS (EXCL. CATTLE BUFFALO PURE-BRED FOR BREEDING AND DOMESTIC SPECIES)(2013-2500),,,,0%,0%,,,,,,,,
1031000,PURE-BRED BREEDING SWINE,,,,0%,0%,,,,,,,,
1039110,DOMESTIC SWINE WEIGHING < 50 KG (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1039190,LIVE NON-DOMESTIC SWINE WEIGHING < 50 KG,,,,0%,0%,,,,,,,,
1039211,LIVE DOMESTIC SOWS HAVING FARROWED AT LEAST ONCE WEIGHING >= 160 KG (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1039219,LIVE DOMESTIC SWINE WEIGHING >= 50 KG (EXCL. SOWS HAVING FARROWED AT LEAST ONCE AND WEIGHING >= 160 KG AND THOSE PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1039290,LIVE NON-DOMESTIC SWINE WEIGHING >= 50 KG,,,,0%,0%,,,,,,,,
1041010,PURE-BRED SHEEP FOR BREEDING,,,,0%,0%,,,,,,,,
1041030,"LIVE LAMBS ""SHEEP UP TO A YEAR OLD"" (EXCL. PUREBRED BREEDING ANIMALS)",,,,0%,0%,,,,,,,,
1041080,LIVE SHEEP (EXCL. LAMBS AND PURE-BRED BREEDING ANIMALS),,,,0%,0%,,,,,,,,
1042010,PURE-BRED BREEDING GOATS,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1042090,LIVE GOATS (EXCL. PURE-BRED FOR BREEDING),,,,0%,0%,,,,,,,,
1051111,GRANDPARENT AND PARENT FEMALE CHICKS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS LAYING STOCKS OF A WEIGHT OF <= 185 G,,,,0%,0%,,,,,,,,
1051119,GRANDPARENT AND PARENT FEMALE CHICKS FOWLS OF THE SPECIES GALLUS DOMESTICUS OF A WEIGHT OF <= 185 G (EXCL. LAYING STOCKS),,,,0%,0%,,,,,,,,
1051191,"LAYING STOCK ""FOWLS OF THE SPECIES GALLUS DOMESTICUS"" OF A WEIGHT OF <= 185 G (EXCL. GRANDPARENT AND PARENT FEMALE CHICKS)",,,,0%,0%,,,,,,,,
1051199,LIVE FOWLS OF THE SPECIES GALLUS DOMESTICUS OF A WEIGHT OF <= 185 G (EXCL. GRANDPARENT AND PARENT FEMALE CHICKS AND LAYING STOCKS),,,,0%,0%,,,,,,,,
1051200,LIVE DOMESTIC TURKEYS WEIGHING <= 185 G,,,,0%,0%,,,,,,,,
1051300,LIVE DOMESTIC DUCKS WEIGHING <= 185 G,,,,0%,0%,,,,,,,,
1051400,LIVE DOMESTIC GEESE WEIGHING <= 185 G,,,,0%,0%,,,,,,,,
1051500,LIVE DOMESTIC GUINEA FOWLS WEIGHING <= 185 G,,,,0%,0%,,,,,,,,
1059400,LIVE FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING > 185,,,,0%,0%,,,,,,,,
1059910,LIVE DOMESTIC DUCKS WEIGHING > 185 G,,,,0%,0%,,,,,,,,
1059920,LIVE DOMESTIC GEESE WEIGHING > 185 G,,,,0%,0%,,,,,,,,
1059930,LIVE DOMESTIC TURKEYS WEIGHING > 185 G,,,,0%,0%,,,,,,,,
1059950,LIVE DOMESTIC GUINEA FOWLS WEIGHING > 185 G,,,,0%,0%,,,,,,,,
1061100,LIVE PRIMATES,,,,0%,0%,,,,,,,,
1061200,LIVE WHALES DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA),,,,0%,0%,,,,,,,,
1061300,LIVE CAMELS AND OTHER CAMELIDS {CAMELIDAE},,,,0%,0%,,,,,,,,
1061410,LIVE DOMESTIC RABBITS,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1061490,LIVE RABBITS AND HARES (EXCL. DOMESTIC RABBITS),,,,0%,0%,,,,,,,,
1061900,LIVE MAMMALS (EXCL. PRIMATES WHALES DOLPHINS AND PORPOISES MANATEES AND DUGONGS SEALS SEA LIONS AND WALRUSES CAMELS AND OTHER CAMELIDS RABBITS AND HARES HORSES ASSES MULES HINNIES BOVINES PIGS SHEEP AND GOATS),,,,0%,0%,,,,,,,,
1062000,"LIVE REPTILES ""E.G. SNAKES TURTLES ALLIGATORS CAYMANS IGUANAS GAVIALS AND LIZARDS""",,,,0%,0%,,,,,,,,
1063100,LIVE BIRDS OF PREY,,,,0%,0%,,,,,,,,
1063200,"LIVE PSITTACIFORMES ""INCL. PARROTS PARRAKEETS MACAWS AND COCKATOOS""",,,,0%,0%,,,,,,,,
1063300,LIVE OSTRICHES AND EMUS {DROMAIUS NOVAEHOLLANDIAE},,,,0%,0%,,,,,,,,
1063910,LIVE PIGEONS,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
1063980,LIVE BIRDS (EXCL. BIRDS OF PREY PSITTACIFORMES PARROTS PARRAKEETS MACAWS COCKATOOS OSTRICHES EMUS AND PIGEONS),,,,0%,0%,,,,,,,,
1064100,LIVE BEES,,,,0%,0%,,,,,,,,
1064900,LIVE INSECTS (EXCL. BEES),,,,0%,0%,,,,,,,,
1069000,LIVE ANIMALS (EXCL. MAMMALS REPTILES BIRDS INSECTS FISH CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES AND CULTURES OF MICRO-ORGANISMS ETC.)(2012-2500),,,,0%,0%,,,,,,,,
2011000,CARCASES OR HALF-CARCASES OF BOVINE ANIMALS FRESH OR CHILLED,,,,0%,0%,,,,,,,,
2012020,COMPENSATED QUARTERS OF BOVINE ANIMALS WITH BONE IN FRESH OR CHILLED,,,,0%,0%,,,,,,,,
2012030,UNSEPARATED OR SEPARATED FOREQUARTERS OF BOVINE ANIMALS WITH BONE IN FRESH OR CHILLED,,,,0%,0%,,,,,,,,
2012050,UNSEPARATED OR SEPARATED HINDQUARTERS OF BOVINE ANIMALS WITH BONE IN FRESH OR CHILLED,,,,0%,0%,,,,,,,,
2012090,"FRESH OR CHILLED BOVINE CUTS WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES ""COMPENSATED QUARTERS"" FOREQUARTERS AND HINDQUARTERS)",,,,0%,0%,,,,,,,,
2013000,FRESH OR CHILLED BOVINE MEAT BONELESS,,,,0%,0%,,,,,,,,
2021000,FROZEN BOVINE CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2022010,"FROZEN ""COMPENSATED"" BOVINE QUARTERS WITH BONE IN",,,,0%,0%,,,,,,,,
2022030,FROZEN UNSEPARATED OR SEPARATED BOVINE FOREQUARTERS WITH BONE IN,,,,0%,0%,,,,,,,,
2022050,FROZEN UNSEPARATED OR SEPARATED BOVINE HINDQUARTERS WITH BONE IN,,,,0%,0%,,,,,,,,
2022090,"FROZEN BOVINE CUTS WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES ""COMPENSATED"" QUARTERS FOREQUARTERS AND HINDQUARTERS)",,,,0%,0%,,,,,,,,
2023010,FROZEN BOVINE BONELESS FOREQUARTERS WHOLE OR CUT IN MAX. 5 PIECES EACH QUARTER IN 1 BLOCK,,,,0%,0%,,,,,,,,
2023050,FROZEN BOVINE BONELESS CROP CHUCK AND BLADE AND BRISKET CUTS,,,,0%,0%,,,,,,,,
2023090,"FROZEN BOVINE BONELESS MEAT (EXCL. FOREQUARTERS WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES EACH QUARTER BEING IN A SINGLE BLOCK ""COMPENSATED"" QUARTERS IN TWO BLOCKS ONE OF WHICH CONTAINS THE FOREQUARTER WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES AND THE OTHER THE HINDQUARTER EXCL. THE TENDERLOIN IN ONE PIECE CROP CHUCK AND BLADE AND BRISKET CUTS)",,,,0%,0%,,,,,,,,
2031110,FRESH OR CHILLED DOMESTIC SWINE CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2031190,FRESH OR CHILLED NON-DOMESTIC SWINE CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2031211,FRESH OR CHILLED WITH BONE IN DOMESTIC SWINE HAMS AND CUTS THEREOF,,,,0%,0%,,,,,,,,
2031219,FRESH OR CHILLED WITH BONE IN DOMESTIC SWINE SHOULDERS AND CUTS THEREOF,,,,0%,0%,,,,,,,,
2031290,FRESH OR CHILLED HAMS SHOULDERS AND CUTS THEREOF WITH BONE IN OF NON-DOMESTIC SWINE,,,,0%,0%,,,,,,,,
2031911,FRESH OR CHILLED FORE-ENDS AND CUTS THEREOF OF DOMESTIC SWINE,,,,0%,0%,,,,,,,,
2031913,FRESH OR CHILLED LOINS AND CUTS THEREOF OF DOMESTIC SWINE,,,,0%,0%,,,,,,,,
2031915,"FRESH OR CHILLED BELLIES ""STREAKY"" AND CUTS THEREOF OF DOMESTIC SWINE",,,,0%,0%,,,,,,,,
2031955,FRESH OR CHILLED BONELESS MEAT OF DOMESTIC SWINE (EXCL. BELLIES AND CUTS THEREOF),,,,0%,0%,,,,,,,,
2031959,FRESH OR CHILLED MEAT OF DOMESTIC SWINE WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES HAMS SHOULDERS AND CUTS THEREOF AND FORE-ENDS LOINS BELLIES AND CUTS THEREOF),,,,0%,0%,,,,,,,,
2031990,FRESH OR CHILLED MEAT OF NON-DOMESTIC SWINE (EXCL. CARCASES AND HALF-CARCASES HAMS SHOULDERS AND CUTS THEREOF WITH BONE IN),,,,0%,0%,,,,,,,,
2032110,FROZEN DOMESTIC SWINE CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2032190,FROZEN NON-DOMESTIC SWINE CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2032211,FROZEN HAMS AND CUTS THEREOF OF DOMESTIC SWINE WITH BONE IN,,,,0%,0%,,,,,,,,
2032219,FROZEN SHOULDERS AND CUTS THEREOF OF DOMESTIC SWINE WITH BONE IN,,,,0%,0%,,,,,,,,
2032290,FROZEN HAMS SHOULDERS AND CUTS THEREOF OF NON-DOMESTIC SWINE WITH BONE IN,,,,0%,0%,,,,,,,,
2032911,FROZEN FORE-ENDS AND CUTS THEREOF OF DOMESTIC SWINE,,,,0%,0%,,,,,,,,
2032913,FROZEN LOINS AND CUTS THEREOF OF DOMESTIC SWINE WITH BONE IN,,,,0%,0%,,,,,,,,
2032915,"FROZEN BELLIES ""STREAKY"" AND CUTS THEREOF OF DOMESTIC SWINE",,,,0%,0%,,,,,,,,
