Measure SID,Order number,Measure type,Start date,End date,Geo,Commodity,additional_code_type_id,additional_code_id,reduction_indicator,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,additional_code_sid,export_refund_nomenclature_sid
3460521,,142,2016-11-01,,ZA,0603110000,,,,1,D1616230,,,False,442,86661,,
3503332,,142,2016-10-10,,ZA,0101300000,,,,1,D1616230,,,False,442,93801,,
3503333,,142,2016-10-10,,ZA,0101900000,,,,1,D1616230,,,False,442,72763,,
3503334,,142,2016-10-10,,ZA,0103911000,,,,1,D1616230,,,False,442,27766,,
3503335,,142,2016-10-10,,ZA,0103921100,,,,1,D1616230,,,False,442,27770,,
3503336,,142,2016-10-10,,ZA,0103921900,,,,1,D1616230,,,False,442,27771,,
3503337,,142,2016-10-10,,ZA,0104103000,,,,1,D1616230,,,False,442,27777,,
3503338,,142,2016-10-10,,ZA,0104108000,,,,1,D1616230,,,False,442,27778,,
3503339,,142,2016-10-10,,ZA,0104200000,,,,1,D1616230,,,False,442,27780,,
3503340,,142,2016-10-10,,ZA,0105000000,,,,1,D1616230,,,False,442,27783,,
3503341,,142,2016-10-10,,ZA,0106141000,,,,1,D1616230,,,False,442,94190,,
3503342,,142,2016-10-10,,ZA,0106391000,,,,1,D1616230,,,False,442,72780,,
3503343,,142,2016-10-10,,ZA,0203111000,,,,1,D1616230,,,False,442,27924,,
3503344,,142,2016-10-10,,ZA,0203121100,,,,1,D1616230,,,False,442,27928,,
3503345,,142,2016-10-10,,ZA,0203121900,,,,1,D1616230,,,False,442,27929,,
3503346,,142,2016-10-10,,ZA,0203191100,,,,1,D1616230,,,False,442,27933,,
3503347,,142,2016-10-10,,ZA,0203191300,,,,1,D1616230,,,False,442,27934,,
3503348,,142,2016-10-10,,ZA,0203191500,,,,1,D1616230,,,False,442,27935,,
3503349,,142,2016-10-10,,ZA,0203195500,,,,1,D1616230,,,False,442,27939,,
3503350,,142,2016-10-10,,ZA,0203195900,,,,1,D1616230,,,False,442,27942,,
3503351,,142,2016-10-10,,ZA,0203211000,,,,1,D1616230,,,False,442,27946,,
3503352,,142,2016-10-10,,ZA,0203221100,,,,1,D1616230,,,False,442,27950,,
3503353,,142,2016-10-10,,ZA,0203221900,,,,1,D1616230,,,False,442,27951,,
3503354,,142,2016-10-10,,ZA,0203291100,,,,1,D1616230,,,False,442,27955,,
3503355,,142,2016-10-10,,ZA,0203291300,,,,1,D1616230,,,False,442,27956,,
3503356,,142,2016-10-10,,ZA,0203291500,,,,1,D1616230,,,False,442,27957,,
3503357,,142,2016-10-10,,ZA,0203295500,,,,1,D1616230,,,False,442,27961,,
3503358,,142,2016-10-10,,ZA,0203295900,,,,1,D1616230,,,False,442,27967,,
3503359,,142,2016-10-10,,ZA,0204000000,,,,1,D1616230,,,False,442,27969,,
3503360,,142,2016-10-10,,ZA,0205000000,,,,1,D1616230,,,False,442,28039,,
3503407,,142,2016-10-10,,ZA,0208000000,,,,1,D1616230,,,False,442,28267,,
3503408,,142,2016-10-10,,ZA,0209000000,,,,1,D1616230,,,False,442,28289,,
3503409,,142,2016-10-10,,ZA,0210110000,,,,1,D1616230,,,False,442,28297,,
3503410,,142,2016-10-10,,ZA,0210120000,,,,1,D1616230,,,False,442,28308,,
3503411,,142,2016-10-10,,ZA,0210190000,,,,1,D1616230,,,False,442,28315,,
3503412,,142,2016-10-10,,ZA,0210910000,,,,1,D1616230,,,False,442,72794,,
