Regulation ID,UK regulation ID
D140088,X1906640
R162107,X1906640
R160024,X1906640
R120514,X1906640
R101099,X1906640
R110799,X1906640
R161024,X1906640
R170186,X1906640
R140885,X1906640
R172298,X1906640
R180941,X1906640
R172058,X1906640
R141021,X1906640
R160874,X1906640
R150943,X1906640
R140323,X1906640
R121235,X1906640
R140718,X1906640
R171142,X1906640
R160443,X1906640
R150525,X1906640
R150949,X1906640
R151607,X1906640
R110321,X1907040
R141078,X1907200
R152229,X1907200
R120649,X1907200
R190330,X1907200
R180172,X1907200
R131259,X1907420
R161443,X1907420
R050111,X1907420
R100640,X1907530
R140494,X1907950
D070275,X1907950
R130743,X1907950
R022368,X1908440
