EU regulation ID,UK reg identifier
R190915,N1900120
R170109,N1900090
R160226,N1900010
R181722,N1900010
R160676,N1900080
R181121,N1900081
R151518,N1900080
R160675,N1900081
R151519,N1900081
R190244,N1900340
R190261,N1900220
R180140,N1900140
R172179,N1900100
R190297,N1900030
R161328,N1900180
R170724,N1900150
R141379,N1900151
R180186,N1900230
R151953,N1900160
R170336,N1900200
R171795,N1900210
R170969,N1900211
R170969,N1900212
R130695,N1900040
R190687,N1900130
R190688,N1900290
R181468,N1900250
R150865,N1900060
R150309,N1900300
R161246,N1900170
R171141,N1900280
R180607,N1900020
R181690,N1900320
R181690,N1900240
R150110,N1900050
R151846,N1900070
