Regulation ID,UK regulation ID
D971401,X1900010
R150949,X1900020
R140494,X1900030
R071523,X1900040
R120642,X1900050
R170284,X1900060
R140704,X1900070
R150936,X1900080
R031210,X1900090
R120649,X1900100
R141078,X1900100
R152229,X1900100
R180172,X1900100
R061368,X1900110
R080555,X1900120
D050394,X1900130
R051236,X1900140
R111352,X1900140
R140775,X1900140
R131259,X1900150
R810139,X1900170
R150943,X1900180
R160874,X1900180
R100640,X1900200
R131308,X1900210
R152420,X1900960
R161969,X1900960
R172268,X1900960
D140088,X1901000
D060232,X1901010
R171263,X1901020
R070834,X1900440
R061013,X1900450
R091005,X1900460
D140284,X1900470
