Order number,Country,Method,Y1 Balance,FY Balance,Start,End,Unit,Origin,Addendum,Scope
091506,kosovo,FCFS,0,2000,01/01/2020,31/12/2020,KGM,,,
091508,kosovo,FCFS,0,3000,01/01/2020,31/12/2020,KGM,,,
091570,kosovo,FCFS,0,544800,01/01/2020,31/12/2020,HLT,,,
091572,kosovo,FCFS,0,136200,01/01/2020,31/12/2020,HLT,,,
094200,kosovo,Licensed,0,65000,21/09/2020,31/12/2020,KGM,,,
091171,lebanon,FCFS,0,3541000,01/01/2020,31/12/2020,KGM,,,
091172,lebanon,FCFS,0,7082000,01/01/2020,31/12/2020,KGM,,,
091173,lebanon,FCFS,0,7082000,01/01/2020,31/12/2020,KGM,,,
091174,lebanon,FCFS,0,2860000,01/01/2020,31/12/2020,KGM,,,
091175,lebanon,FCFS,0,681000,01/01/2020,31/12/2020,KGM,,,
091176,lebanon,FCFS,0,681000,01/01/2020,31/12/2020,KGM,,,
091177,lebanon,FCFS,0,136000,01/01/2020,31/12/2020,KGM,,,
091178,lebanon,FCFS,0,136000,01/01/2020,31/12/2020,KGM,,,
091179,lebanon,FCFS,0,817000,01/01/2020,31/12/2020,KGM,,,
091180,lebanon,FCFS,0,545000,01/01/2020,31/12/2020,KGM,,,
091181,lebanon,FCFS,0,1362000,01/01/2020,31/12/2020,KGM,,,
091182,lebanon,FCFS,0,681000,01/01/2020,31/12/2020,KGM,,,
091183,lebanon,FCFS,0,681000,01/01/2020,31/12/2020,KGM,,,
091184,lebanon,FCFS,0,1362000,01/01/2020,31/12/2020,KGM,,,
091185,lebanon,FCFS,0,681000,01/01/2020,31/12/2020,KGM,,,
091186,lebanon,FCFS,0,136000,01/01/2020,31/12/2020,KGM,,,
091187,lebanon,FCFS,0,136000,01/01/2020,31/12/2020,KGM,,,
091218,tunisia,FCFS,0,1360,01/01/2019,31/12/2019,KGM,,,
091211,tunisia,FCFS,0,30460,01/01/2019,31/12/2019,KGM,,,
091213,tunisia,FCFS,0,511800,01/01/2019,31/03/2019,KGM,,,
091219,tunisia,FCFS,0,270,01/01/2019,31/12/2019,KGM,,,
091207,tunisia,FCFS,0,1069990,01/01/2019,31/12/2019,KGM,,,
094032,tunisia,FCFS,0,7722540,01/01/2019,31/10/2019,KGM,,,
091215,tunisia,FCFS,0,108800,01/01/2019,31/12/2019,KGM,,,
091220,tunisia,FCFS,0,140,01/01/2019,31/12/2019,KGM,,,
091203,tunisia,FCFS,0,140350,01/01/2019,31/12/2019,KGM,,,
091217,tunisia,FCFS,0,27200,01/01/2019,31/12/2019,KGM,,,
091209,tunisia,FCFS,0,487424,01/01/2019,31/12/2019,LTR,,,
091205,tunisia,FCFS,0,152320,01/01/2019,31/12/2019,LTR,,,
091201,tunisia,FCFS,0,2720,01/01/2019,31/12/2019,KGM,,,
097017,Costa Rica,FCFS,0,39498,01/01/2019,31/12/2019,NAR,,,
