"Full commodity code","Formatted commodity code","PLS","Duty","Notes","Description"
"0100000000","0100","80","","","LIVE ANIMALS"
"0101000000","0101","80","","","Live horses; asses; mules and hinnies"
"0101210000","","10","","","Horses"
"0101210000","0101 21","80","0.00%","","Pure-bred breeding animals"
"0101290000","0101 29","80","","","Other"
"0101291000","0101 29 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For slaughter"
"0101299000","0101 29 90","80","0.00%","","Other"
"0101300000","0101 30","80","0.00%","","Asses"
"0101900000","0101 90","80","0.00%","","Other"
"0102000000","0102","80","","","Live bovine animals"
"0102210000","","10","","","Cattle"
"0102210000","0102 21","80","","","Pure-bred breeding animals"
"0102211000","0102 21 10","80","0.00%","","Heifers (female bovines that have never calved)"
"0102213000","0102 21 30","80","0.00%","","Cows"
"0102219000","0102 21 90","80","0.00%","","Other"
"0102290000","0102 29","80","","","Other"
"0102290500","0102 29 05","80","0.00%","","Of the sub-genus Bibos or of the sub-genus Poephagus "
"0102291000","","10","","","Other"
"0102291000","0102 29 10","80","0.00%","","Of a weight not exceeding 80 kg"
"0102292100","","10","","","Of a weight exceeding 80 kg but not exceeding 160 kg"
"0102292100","0102 29 21","80","0.00%","","For slaughter"
"0102292900","0102 29 29","80","0.00%","","Other"
"0102294100","","10","","","Of a weight exceeding 160 kg but not exceeding 300 kg"
"0102294100","0102 29 41","80","0.00%","","For slaughter"
"0102294900","0102 29 49","80","0.00%","","Other"
"0102295100","","10","","","Of a weight exceeding 300 kg"
"0102295100","","20","","","Heifers (female bovines that have never calved)"
"0102295100","0102 29 51","80","0.00%","","For slaughter"
"0102295900","0102 29 59","80","0.00%","","Other"
"0102296100","","10","","","Cows"
"0102296100","0102 29 61","80","0.00%","","For slaughter"
"0102296900","0102 29 69","80","0.00%","","Other"
"0102299100","","10","","","Other"
"0102299100","0102 29 91","80","0.00%","","For slaughter"
"0102299900","0102 29 99","80","0.00%","","Other"
"0102310000","","10","","","Buffalo"
"0102310000","0102 31","80","0.00%","","Pure-bred breeding animals"
"0102390000","0102 39","80","","","Other"
"0102391000","0102 39 10","80","0.00%","","Domestic species"
"0102399000","0102 39 90","80","0.00%","","Other"
"0102900000","0102 90","80","","","Other"
"0102902000","0102 90 20","80","0.00%","","Pure-bred breeding animals"
"0102909100","","10","","","Other"
"0102909100","0102 90 91","80","0.00%","","Domestic species"
"0102909900","0102 90 99","80","0.00%","","Other"
"0103000000","0103","80","","","Live swine"
"0103100000","0103 10","80","0.00%","","Pure-bred breeding animals"
"0103910000","","10","","","Other"
"0103910000","0103 91","80","","","Weighing less than 50 kg"
"0103911000","0103 91 10","80","0.00%","","Domestic species"
"0103919000","0103 91 90","80","0.00%","","Other"
"0103920000","0103 92","80","","","Weighing 50 kg or more"
"0103921100","","10","","","Domestic species"
"0103921100","0103 92 11","80","0.00%","","Sows having farrowed at least once; of a weight of not less than 160 kg"
"0103921900","0103 92 19","80","0.00%","","Other"
"0103929000","0103 92 90","80","0.00%","","Other"
"0104000000","0104","80","","","Live sheep and goats"
"0104100000","0104 10","80","","","Sheep"
"0104101000","0104 10 10","80","0.00%","","Pure-bred breeding animals"
"0104103000","","10","","","Other"
"0104103000","0104 10 30","80","0.00%","","Lambs (up to a year old)"
"0104108000","0104 10 80","80","0.00%","","Other"
"0104200000","0104 20","80","","","Goats"
"0104201000","0104 20 10","80","0.00%","","Pure-bred breeding animals"
"0104209000","0104 20 90","80","0.00%","","Other"
"0105000000","0105","80","","","Live poultry; that is to say; fowls of the species Gallus domesticus ; ducks; geese; turkeys and guinea fowls"
"0105110000","","10","","","Weighing not more than 185 g"
"0105110000","0105 11","80","","","Fowls of the species Gallus domesticus "
"0105111100","","10","","","Grandparent and parent female chicks"
"0105111100","0105 11 11","80","0.00%","","Laying stocks"
"0105111900","0105 11 19","80","0.00%","","Other"
"0105119100","","10","","","Other"
"0105119100","0105 11 91","80","0.00%","","Laying stocks"
"0105119900","0105 11 99","80","0.00%","","Other"
"0105120000","0105 12","80","0.00%","","Turkeys"
"0105130000","0105 13","80","0.00%","","Ducks"
"0105140000","0105 14","80","0.00%","","Geese"
"0105150000","0105 15","80","0.00%","","Guinea fowls"
"0105940000","","10","","","Other"
"0105940000","0105 94","80","0.00%","","Fowls of the species Gallus domesticus "
"0105990000","0105 99","80","","","Other"
"0105991000","0105 99 10","80","0.00%","","Ducks"
"0105992000","0105 99 20","80","0.00%","","Geese"
"0105993000","0105 99 30","80","0.00%","","Turkeys"
"0105995000","0105 99 50","80","0.00%","","Guinea fowls"
"0106000000","0106","80","","","Other live animals"
"0106110000","","10","","","Mammals"
"0106110000","0106 11","80","0.00%","","Primates"
"0106120000","0106 12","80","0.00%","","Whales; dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals; sea lions and walruses (mammals of the suborder Pinnipedia)"
"0106130000","0106 13","80","0.00%","","Camels and other camelids (Camelidae)"
"0106140000","0106 14","80","","","Rabbits and hares"
"0106141000","0106 14 10","80","0.00%","","Domestic rabbits"
"0106149000","0106 14 90","80","0.00%","","Other"
"0106190000","0106 19","80","0.00%","","Other"
"0106200000","0106 20","80","0.00%","","Reptiles (including snakes and turtles)"
"0106310000","","10","","","Birds"
"0106310000","0106 31","80","0.00%","","Birds of prey"
"0106320000","0106 32","80","0.00%","","Psittaciformes (including parrots; parakeets; macaws and cockatoos)"
"0106330000","0106 33","80","0.00%","","Ostriches; emus (Dromaius novaehollandiae)"
"0106390000","0106 39","80","","","Other"
"0106391000","0106 39 10","80","0.00%","","Pigeons"
"0106398000","0106 39 80","80","0.00%","","Other"
"0106410000","","10","","","Insects"
"0106410000","0106 41","80","0.00%","","Bees"
"0106490000","0106 49","80","0.00%","","Other"
"0106900000","0106 90","80","0.00%","","Other"
"0200000000","0200","80","","","MEAT AND EDIBLE MEAT OFFAL"
"0201000000","0201","80","","","Meat of bovine animals; fresh or chilled"
"0201100000","0201 10","80","Formula","Mixture rule; non-mixture: 6.80% + 93.300 € / 100 kg","Carcasses and half-carcasses"
"0201200000","0201 20","80","","","Other cuts with bone in"
"0201202000","0201 20 20","80","Formula","Mixture rule; non-mixture: 6.80% + 93.300 € / 100 kg","'Compensated' quarters"
