"0500000000","0500","80","","","PRODUCTS OF ANIMAL ORIGIN; NOT ELSEWHERE SPECIFIED OR INCLUDED"
"0501000000","0501","80","0.0%","","Human hair; unworked; whether or not washed or scoured; waste of human hair"
"0502000000","0502","80","","","Pigs'; hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair"
"0502100000","0502 10","80","0.0%","","Pigs'; hogs' or boars' bristles and hair and waste thereof"
"0502900000","0502 90","80","0.0%","","Other"
"0504000000","0504","80","0.0%","","Guts; bladders and stomachs of animals (other than fish); whole and pieces thereof; fresh; chilled; frozen; salted; in brine; dried or smoked"
"0505000000","0505","80","","","Skins and other parts of birds; with their feathers or down; feathers and parts of feathers (whether or not with trimmed edges) and down; not further worked than cleaned; disinfected or treated for preservation; powder and waste of feathers or parts of feathers"
"0505100000","0505 10","80","","","Feathers of a kind used for stuffing; down"
"0505101000","0505 10 10","80","0.0%","","Raw"
"0505109000","0505 10 90","80","0.0%","","Other"
"0505900000","0505 90","80","0.0%","","Other"
"0506000000","0506","80","","","Bones and horn-cores; unworked; defatted; simply prepared (but not cut to shape); treated with acid or degelatinised; powder and waste of these products"
"0506100000","0506 10","80","0.0%","","Ossein and bones treated with acid"
"0506900000","0506 90","80","0.0%","","Other"
"0507000000","0507","80","","","Ivory; tortoiseshell; whalebone and whalebone hair; horns; antlers; hooves; nails; claws and beaks; unworked or simply prepared but not cut to shape; powder and waste of these products"
"0507100000","0507 10","80","0.0%","","Ivory; ivory powder and waste"
"0507900000","0507 90","80","0.0%","","Other"
"0508000000","0508","80","0.0%","","Coral and similar materials; unworked or simply prepared but not otherwise worked; shells of molluscs; crustaceans or echinoderms and cuttle-bone; unworked or simply prepared but not cut to shape; powder and waste thereof"
"0510000000","0510","80","0.0%","","Ambergris; castoreum; civet and musk; cantharides; bile; whether or not dried; glands and other animal products used in the preparation of pharmaceutical products; fresh; chilled; frozen or otherwise provisionally preserved"
"0511000000","0511","80","","","Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3; unfit for human consumption"
"0511100000","0511 10","80","0.0%","","Bovine semen"
"0511910000","","10","","","Other"
"0511910000","0511 91","80","","","Products of fish or crustaceans; molluscs or other aquatic invertebrates; dead animals of Chapter 3"
"0511911000","0511 91 10","80","0.0%","","Fish waste"
"0511919000","0511 91 90","80","0.0%","","Other"
"0511990000","0511 99","80","","","Other"
"0511991000","0511 99 10","80","0.0%","","Sinews or tendons; parings and similar waste of raw hides or skins"
"0511993100","","10","","","Natural sponges of animal origin"
"0511993100","0511 99 31","80","0.0%","","Raw"
"0511993900","0511 99 39","80","0.0%","","Other"
"0511998500","0511 99 85","80","0.0%","","Other"
